CMDLINE python realtime_parallel.py --time 221790745 --codedir /users/mfeldman/scripts/ELDES_MESO/ --outdir /scratch/mfeldman/realtime/ --dvdir /scratch/mfeldman/realtime/ --lomdir /scratch/mfeldman/realtime/
CHLD 39 254.871094 1677509362.0728
CHLD 40 256.453125 1677509362.0728
CHLD 41 256.457031 1677509362.0728
CHLD 42 249.171875 1677509362.0728
CHLD 43 253.707031 1677509362.0728
CHLD 44 253.710938 1677509362.0728
CHLD 45 253.710938 1677509362.0729
CHLD 46 253.714844 1677509362.0729
CHLD 47 253.718750 1677509362.0729
MEM 13342.921875 1677509362.2035
CHLD 0 812.945312 1677509362.2224
CHLD 1 270.582031 1677509362.2224
CHLD 2 268.324219 1677509362.2224
CHLD 3 271.960938 1677509362.2224
CHLD 4 268.812500 1677509362.2225
CHLD 5 272.113281 1677509362.2225
CHLD 6 269.683594 1677509362.2225
CHLD 7 0.000000 1677509362.2225
CHLD 8 268.574219 1677509362.2225
CHLD 9 264.050781 1677509362.2225
CHLD 10 265.679688 1677509362.2226
CHLD 11 0.000000 1677509362.2226
CHLD 12 268.804688 1677509362.2226
CHLD 13 266.511719 1677509362.2226
CHLD 14 270.613281 1677509362.2226
CHLD 15 261.257812 1677509362.2226
CHLD 16 265.597656 1677509362.2227
CHLD 17 269.585938 1677509362.2227
CHLD 18 252.953125 1677509362.2227
CHLD 19 256.394531 1677509362.2227
CHLD 20 266.667969 1677509362.2227
CHLD 21 264.328125 1677509362.2227
CHLD 22 263.234375 1677509362.2228
CHLD 23 261.609375 1677509362.2228
CHLD 24 259.914062 1677509362.2228
CHLD 25 258.675781 1677509362.2228
CHLD 26 257.957031 1677509362.2228
CHLD 27 257.230469 1677509362.2228
CHLD 28 257.238281 1677509362.2228
CHLD 29 257.128906 1677509362.2229
CHLD 30 288.203125 1677509362.2229
CHLD 31 283.414062 1677509362.2229
CHLD 32 257.929688 1677509362.2229
CHLD 33 259.304688 1677509362.2229
CHLD 34 253.453125 1677509362.2229
CHLD 35 257.386719 1677509362.2230
CHLD 36 259.453125 1677509362.2230
CHLD 37 258.542969 1677509362.2230
CHLD 38 251.433594 1677509362.2230
CHLD 39 255.972656 1677509362.2230
CHLD 40 256.710938 1677509362.2230
CHLD 41 256.710938 1677509362.2231
CHLD 42 256.710938 1677509362.2231
CHLD 43 256.230469 1677509362.2231
CHLD 44 255.968750 1677509362.2231
CHLD 45 256.230469 1677509362.2231
CHLD 46 256.226562 1677509362.2232
CHLD 47 255.984375 1677509362.2232
CHLD 48 257.769531 1677509362.2232
CHLD 49 256.808594 1677509362.2232
CHLD 50 254.144531 1677509362.2232
MEM 14126.101562 1677509362.3428
CHLD 0 1030.226562 1677509362.3612
CHLD 1 270.582031 1677509362.3612
CHLD 2 272.566406 1677509362.3612
CHLD 3 272.851562 1677509362.3612
CHLD 4 268.812500 1677509362.3613
CHLD 5 272.996094 1677509362.3613
CHLD 6 327.617188 1677509362.3613
CHLD 7 268.574219 1677509362.3613
CHLD 8 264.054688 1677509362.3613
CHLD 9 268.804688 1677509362.3613
CHLD 10 268.804688 1677509362.3614
CHLD 11 266.511719 1677509362.3614
CHLD 12 268.492188 1677509362.3614
CHLD 13 261.257812 1677509362.3614
CHLD 14 265.597656 1677509362.3614
CHLD 15 269.585938 1677509362.3614
CHLD 16 267.148438 1677509362.3615
CHLD 17 271.347656 1677509362.3615
CHLD 18 266.667969 1677509362.3615
CHLD 19 264.328125 1677509362.3615
CHLD 20 263.234375 1677509362.3615
CHLD 21 261.609375 1677509362.3615
CHLD 22 261.300781 1677509362.3616
CHLD 23 259.898438 1677509362.3616
CHLD 24 258.265625 1677509362.3616
CHLD 25 257.328125 1677509362.3616
CHLD 26 257.597656 1677509362.3616
CHLD 27 257.128906 1677509362.3616
CHLD 28 256.878906 1677509362.3617
CHLD 29 256.839844 1677509362.3617
CHLD 30 278.425781 1677509362.3617
CHLD 31 259.445312 1677509362.3617
CHLD 32 255.156250 1677509362.3617
CHLD 33 257.316406 1677509362.3617
CHLD 34 258.710938 1677509362.3618
CHLD 35 259.097656 1677509362.3618
CHLD 36 253.500000 1677509362.3618
CHLD 37 256.128906 1677509362.3618
CHLD 38 256.523438 1677509362.3618
CHLD 39 256.453125 1677509362.3618
CHLD 40 255.886719 1677509362.3618
CHLD 41 256.089844 1677509362.3619
CHLD 42 256.273438 1677509362.3619
CHLD 43 256.160156 1677509362.3619
CHLD 44 256.128906 1677509362.3619
CHLD 45 256.121094 1677509362.3619
CHLD 46 258.035156 1677509362.3619
CHLD 47 259.292969 1677509362.3620
CHLD 48 255.062500 1677509362.3620
CHLD 49 254.894531 1677509362.3620
CHLD 50 256.476562 1677509362.3620
MEM 15255.316406 1677509362.4815
CHLD 0 1136.324219 1677509362.4999
CHLD 1 270.582031 1677509362.4999
CHLD 2 272.566406 1677509362.4999
CHLD 3 272.851562 1677509362.4999
CHLD 4 268.812500 1677509362.4999
CHLD 5 273.003906 1677509362.4999
CHLD 6 268.210938 1677509362.5000
CHLD 7 268.574219 1677509362.5000
CHLD 8 264.054688 1677509362.5000
CHLD 9 268.812500 1677509362.5000
CHLD 10 268.886719 1677509362.5000
CHLD 11 266.511719 1677509362.5000
CHLD 12 268.574219 1677509362.5001
CHLD 13 261.257812 1677509362.5001
CHLD 14 265.679688 1677509362.5001
CHLD 15 269.667969 1677509362.5001
CHLD 16 267.230469 1677509362.5001
CHLD 17 269.433594 1677509362.5002
CHLD 18 266.750000 1677509362.5002
CHLD 19 264.410156 1677509362.5002
CHLD 20 265.082031 1677509362.5002
CHLD 21 263.308594 1677509362.5002
CHLD 22 261.496094 1677509362.5002
CHLD 23 259.914062 1677509362.5003
CHLD 24 258.687500 1677509362.5003
CHLD 25 257.609375 1677509362.5003
CHLD 26 257.636719 1677509362.5003
CHLD 27 257.324219 1677509362.5003
CHLD 28 256.878906 1677509362.5003
CHLD 29 255.308594 1677509362.5003
CHLD 30 268.804688 1677509362.5004
CHLD 31 259.445312 1677509362.5004
CHLD 32 255.171875 1677509362.5004
CHLD 33 257.531250 1677509362.5004
CHLD 34 259.113281 1677509362.5004
CHLD 35 259.113281 1677509362.5004
CHLD 36 253.515625 1677509362.5005
CHLD 37 256.144531 1677509362.5005
CHLD 38 256.386719 1677509362.5005
CHLD 39 256.386719 1677509362.5005
CHLD 40 255.910156 1677509362.5005
CHLD 41 256.152344 1677509362.5005
CHLD 42 259.968750 1677509362.5006
CHLD 43 258.378906 1677509362.5006
CHLD 44 256.636719 1677509362.5006
CHLD 45 256.332031 1677509362.5006
CHLD 46 257.929688 1677509362.5006
CHLD 47 259.429688 1677509362.5006
CHLD 48 255.171875 1677509362.5007
CHLD 49 257.390625 1677509362.5007
CHLD 50 256.476562 1677509362.5007
CHLD 51 256.476562 1677509362.5007
CHLD 52 249.195312 1677509362.5007
CHLD 53 253.730469 1677509362.5007
CHLD 54 253.734375 1677509362.5008
MEM 15822.703125 1677509362.6212
CHLD 0 1063.890625 1677509362.6402
CHLD 1 301.128906 1677509362.6402
CHLD 2 272.566406 1677509362.6403
CHLD 3 329.718750 1677509362.6403
CHLD 4 269.828125 1677509362.6403
CHLD 5 329.867188 1677509362.6403
CHLD 6 0.000000 1677509362.6403
CHLD 7 268.574219 1677509362.6403
CHLD 8 264.945312 1677509362.6404
CHLD 9 268.812500 1677509362.6404
CHLD 10 268.886719 1677509362.6404
CHLD 11 266.511719 1677509362.6404
CHLD 12 268.574219 1677509362.6404
CHLD 13 264.019531 1677509362.6404
CHLD 14 265.679688 1677509362.6405
CHLD 15 272.320312 1677509362.6405
CHLD 16 267.230469 1677509362.6405
CHLD 17 269.433594 1677509362.6405
CHLD 18 269.074219 1677509362.6405
CHLD 19 266.378906 1677509362.6405
CHLD 20 265.566406 1677509362.6406
CHLD 21 263.566406 1677509362.6406
CHLD 22 261.496094 1677509362.6406
CHLD 23 259.914062 1677509362.6406
CHLD 24 258.890625 1677509362.6406
CHLD 25 314.000000 1677509362.6406
CHLD 26 313.851562 1677509362.6407
CHLD 27 313.519531 1677509362.6407
CHLD 28 0.000000 1677509362.6407
CHLD 29 0.000000 1677509362.6407
CHLD 30 268.886719 1677509362.6407
CHLD 31 270.375000 1677509362.6407
CHLD 32 255.171875 1677509362.6408
CHLD 33 257.554688 1677509362.6408
CHLD 34 259.136719 1677509362.6408
CHLD 35 259.136719 1677509362.6408
CHLD 36 262.148438 1677509362.6408
CHLD 37 269.269531 1677509362.6408
CHLD 38 265.984375 1677509362.6409
CHLD 39 264.410156 1677509362.6409
CHLD 40 262.414062 1677509362.6409
CHLD 41 318.687500 1677509362.6409
CHLD 42 260.015625 1677509362.6409
CHLD 43 382.398438 1677509362.6409
CHLD 44 352.742188 1677509362.6410
CHLD 45 0.000000 1677509362.6410
CHLD 46 257.929688 1677509362.6410
CHLD 47 259.445312 1677509362.6410
CHLD 48 255.171875 1677509362.6410
CHLD 49 257.554688 1677509362.6411
CHLD 50 258.734375 1677509362.6411
CHLD 51 258.734375 1677509362.6411
CHLD 52 251.460938 1677509362.6411
CHLD 53 256.000000 1677509362.6411
CHLD 54 256.246094 1677509362.6411
CHLD 55 256.734375 1677509362.6412
CHLD 56 256.734375 1677509362.6412
CHLD 57 256.734375 1677509362.6412
MEM 16077.914062 1677509362.7684
CHLD 0 1516.257812 1677509362.8051
CHLD 1 326.960938 1677509362.8052
CHLD 2 272.566406 1677509362.8052
CHLD 3 329.718750 1677509362.8052
CHLD 4 269.828125 1677509362.8052
CHLD 5 270.460938 1677509362.8052
CHLD 6 0.000000 1677509362.8052
CHLD 7 268.574219 1677509362.8053
CHLD 8 264.945312 1677509362.8053
CHLD 9 268.812500 1677509362.8053
CHLD 10 268.886719 1677509362.8053
CHLD 11 269.953125 1677509362.8053
CHLD 12 268.574219 1677509362.8053
CHLD 13 264.035156 1677509362.8054
CHLD 14 265.679688 1677509362.8054
CHLD 15 272.320312 1677509362.8054
CHLD 16 269.691406 1677509362.8054
CHLD 17 269.433594 1677509362.8054
