CMDLINE python realtime_serial.py
MEM 381.343750 1675698952.9485
MEM 381.343750 1675698953.0490
MEM 381.343750 1675698953.1497
MEM 381.343750 1675698953.2502
MEM 381.343750 1675698953.3506
MEM 381.343750 1675698953.4511
MEM 381.343750 1675698953.5515
MEM 381.343750 1675698953.6521
MEM 381.343750 1675698953.7526
MEM 381.343750 1675698953.8531
MEM 381.343750 1675698953.9535
MEM 381.343750 1675698954.0539
MEM 381.343750 1675698954.1543
MEM 381.343750 1675698954.2549
MEM 381.343750 1675698954.3553
MEM 381.343750 1675698954.4558
MEM 381.343750 1675698954.5563
MEM 381.343750 1675698954.6569
MEM 381.343750 1675698954.7574
MEM 381.343750 1675698954.8578
MEM 381.343750 1675698954.9583
MEM 381.343750 1675698955.0587
MEM 381.343750 1675698955.1592
MEM 381.343750 1675698955.2597
MEM 381.343750 1675698955.3602
MEM 381.343750 1675698955.4606
MEM 381.343750 1675698955.5610
MEM 381.343750 1675698955.6615
MEM 381.343750 1675698955.7620
MEM 381.343750 1675698955.8626
MEM 381.343750 1675698955.9631
MEM 381.343750 1675698956.0635
MEM 381.343750 1675698956.1642
MEM 381.343750 1675698956.2644
MEM 381.343750 1675698956.3649
MEM 381.343750 1675698956.4654
MEM 381.343750 1675698956.5659
MEM 381.343750 1675698956.6663
MEM 381.343750 1675698956.7668
MEM 381.343750 1675698956.8673
MEM 381.343750 1675698956.9678
MEM 381.343750 1675698957.0682
MEM 381.343750 1675698957.1688
MEM 381.343750 1675698957.2693
MEM 381.343750 1675698957.3697
MEM 381.343750 1675698957.4702
MEM 381.343750 1675698957.5709
MEM 381.343750 1675698957.6715
MEM 381.343750 1675698957.7722
MEM 381.343750 1675698957.8728
MEM 381.343750 1675698957.9733
MEM 381.343750 1675698958.0738
MEM 381.343750 1675698958.1744
MEM 381.343750 1675698958.2750
MEM 381.343750 1675698958.3755
MEM 381.343750 1675698958.4759
MEM 381.343750 1675698958.5766
MEM 381.343750 1675698958.6773
MEM 381.343750 1675698958.7779
MEM 381.343750 1675698958.8786
MEM 381.343750 1675698958.9791
MEM 381.343750 1675698959.0796
MEM 381.343750 1675698959.1802
MEM 381.343750 1675698959.2807
MEM 381.343750 1675698959.3814
MEM 381.343750 1675698959.4819
MEM 381.343750 1675698959.5825
MEM 381.343750 1675698959.6832
MEM 381.343750 1675698959.7838
MEM 381.343750 1675698959.8842
MEM 381.343750 1675698959.9847
MEM 381.343750 1675698960.0851
MEM 381.343750 1675698960.1856
MEM 381.343750 1675698960.2860
MEM 381.343750 1675698960.3865
MEM 381.343750 1675698960.4869
MEM 381.343750 1675698960.5875
MEM 381.343750 1675698960.6880
MEM 381.343750 1675698960.7885
MEM 381.343750 1675698960.8888
MEM 381.343750 1675698960.9892
MEM 381.343750 1675698961.0895
MEM 381.343750 1675698961.1900
MEM 381.343750 1675698961.2904
MEM 381.343750 1675698961.3908
MEM 381.343750 1675698961.4914
MEM 381.343750 1675698961.5918
MEM 381.343750 1675698961.6924
MEM 381.343750 1675698961.7929
MEM 381.343750 1675698961.8933
MEM 381.343750 1675698961.9936
MEM 381.343750 1675698962.0940
MEM 381.343750 1675698962.1944
MEM 381.343750 1675698962.2950
MEM 381.343750 1675698962.3956
MEM 381.343750 1675698962.4961
MEM 381.343750 1675698962.5968
MEM 381.343750 1675698962.6974
MEM 381.343750 1675698962.7980
MEM 381.343750 1675698962.8985
MEM 381.343750 1675698962.9989
MEM 381.343750 1675698963.0994
MEM 381.343750 1675698963.2001
MEM 381.343750 1675698963.3007
MEM 381.343750 1675698963.4011
MEM 381.343750 1675698963.5015
MEM 381.343750 1675698963.6019
MEM 381.335938 1675698963.7023
MEM 381.343750 1675698963.8026
MEM 381.343750 1675698963.9029
MEM 381.343750 1675698964.0033
MEM 381.343750 1675698964.1037
MEM 381.343750 1675698964.2042
MEM 381.343750 1675698964.3048
MEM 381.343750 1675698964.4055
MEM 381.343750 1675698964.5060
MEM 381.343750 1675698964.6066
MEM 381.343750 1675698964.7072
MEM 381.343750 1675698964.8077
MEM 381.343750 1675698964.9082
MEM 381.343750 1675698965.0087
MEM 381.343750 1675698965.1092
MEM 381.343750 1675698965.2098
MEM 381.343750 1675698965.3104
MEM 381.343750 1675698965.4109
MEM 381.343750 1675698965.5113
MEM 381.343750 1675698965.6119
MEM 381.343750 1675698965.7125
MEM 381.343750 1675698965.8132
MEM 381.343750 1675698965.9137
MEM 381.343750 1675698966.0141
MEM 381.343750 1675698966.1147
MEM 381.343750 1675698966.2153
MEM 381.343750 1675698966.3158
MEM 381.343750 1675698966.4165
MEM 381.343750 1675698966.5171
MEM 381.343750 1675698966.6176
MEM 381.343750 1675698966.7183
MEM 381.343750 1675698966.8189
MEM 381.343750 1675698966.9194
MEM 381.343750 1675698967.0199
MEM 381.343750 1675698967.1205
MEM 381.343750 1675698967.2210
MEM 381.343750 1675698967.3217
MEM 381.343750 1675698967.4221
MEM 381.343750 1675698967.5226
MEM 381.343750 1675698967.6233
MEM 381.343750 1675698967.7239
MEM 381.343750 1675698967.8246
MEM 381.343750 1675698967.9251
MEM 381.343750 1675698968.0256
MEM 381.343750 1675698968.1261
MEM 381.343750 1675698968.2266
MEM 381.343750 1675698968.3272
MEM 381.343750 1675698968.4274
MEM 381.343750 1675698968.5278
MEM 381.343750 1675698968.6281
MEM 381.343750 1675698968.7284
MEM 381.343750 1675698968.8290
MEM 381.343750 1675698968.9296
MEM 381.343750 1675698969.0302
MEM 381.343750 1675698969.1306
MEM 381.343750 1675698969.2310
MEM 381.343750 1675698969.3314
MEM 381.343750 1675698969.4320
MEM 381.343750 1675698969.5324
MEM 381.343750 1675698969.6328
MEM 381.343750 1675698969.7333
MEM 381.343750 1675698969.8340
MEM 381.343750 1675698969.9345
MEM 381.343750 1675698970.0352
MEM 381.343750 1675698970.1358
MEM 381.343750 1675698970.2363
MEM 381.343750 1675698970.3369
MEM 381.343750 1675698970.4376
MEM 381.343750 1675698970.5379
MEM 381.343750 1675698970.6383
MEM 381.343750 1675698970.7387
MEM 381.343750 1675698970.8393
MEM 381.343750 1675698970.9397
MEM 381.343750 1675698971.0400
MEM 381.343750 1675698971.1404
MEM 381.343750 1675698971.2409
MEM 381.343750 1675698971.3414
MEM 381.343750 1675698971.4417
MEM 381.343750 1675698971.5424
MEM 381.343750 1675698971.6429
MEM 381.343750 1675698971.7434
MEM 381.343750 1675698971.8440
MEM 381.343750 1675698971.9446
MEM 381.343750 1675698972.0451
MEM 381.343750 1675698972.1457
MEM 381.343750 1675698972.2460
MEM 381.343750 1675698972.3465
MEM 381.343750 1675698972.4469
MEM 381.343750 1675698972.5475
MEM 381.343750 1675698972.6480
MEM 381.343750 1675698972.7484
MEM 381.343750 1675698972.8491
MEM 381.343750 1675698972.9496
MEM 381.343750 1675698973.0502
MEM 381.343750 1675698973.1508
MEM 381.343750 1675698973.2515
MEM 381.343750 1675698973.3520
MEM 381.343750 1675698973.4525
MEM 381.343750 1675698973.5529
MEM 381.343750 1675698973.6531
MEM 381.343750 1675698973.7534
MEM 381.343750 1675698973.8536
MEM 381.343750 1675698973.9539
MEM 381.343750 1675698974.0544
MEM 381.343750 1675698974.1549
MEM 381.343750 1675698974.2555
MEM 381.343750 1675698974.3561
MEM 381.343750 1675698974.4565
